Eigenvalue(e   Real(S_x)   Imag(S_x)    Abs(S_x)   Real(S_y)   Imag(S_y)    Abs(S_y)   Real(S_z)   Imag(S_z)    Abs(S_z)
   11.001612    0.000002    0.000005    0.000005    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   11.064422    0.000000   -0.000001    0.000001   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.071118    0.000015    0.000025    0.000029    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   11.088350    0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   11.088360   -0.000002    0.000006    0.000006    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.088363   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   11.089735   -0.000361    0.000366    0.000514    0.001536   -0.000013    0.001536   -0.162245    0.164330    0.230928
   11.089737    0.184777   -0.140748    0.232277    0.000213   -0.000157    0.000264   -0.000407    0.000308    0.000510
   11.089739    0.000249    0.000085    0.000263   -0.218187   -0.075895    0.231010   -0.001345    0.000650    0.001494
   11.091626   -0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000   -0.000053   -0.000074    0.000091
   11.091634    0.000009    0.000013    0.000015   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.091649   -0.000000    0.000000    0.000000    0.000065   -0.000041    0.000077    0.000000   -0.000000    0.000000
   11.095006   -0.000005   -0.000002    0.000006   -0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
   11.095006   -0.000000   -0.000000    0.000000    0.000009    0.000000    0.000009   -0.000001    0.000001    0.000002
   11.095017    0.000000   -0.000000    0.000000    0.000001    0.000001    0.000002    0.000009    0.000001    0.000009
   11.102297    0.000001    0.000000    0.000001    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.102308    0.000001    0.000000    0.000001    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.120808    0.000001   -0.000003    0.000003    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   11.120819   -0.000000   -0.000001    0.000001    0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.123421    0.000000    0.000000    0.000000   -0.000002    0.000003    0.000004   -0.000194   -0.000579    0.000611
   11.123426    0.000000    0.000000    0.000000   -0.000585   -0.000374    0.000694    0.000003   -0.000000    0.000003
   11.123434    0.000042    0.000057    0.000071   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   11.127429    0.000000   -0.000000    0.000000   -0.000002   -0.000004    0.000004    0.000003    0.000001    0.000003
   11.127432   -0.000004   -0.000004    0.000005    0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   11.127441    0.000000    0.000000    0.000000   -0.000003    0.000001    0.000003   -0.000002    0.000003    0.000004
   11.143497   -0.000001   -0.000000    0.000001   -0.000010   -0.000013    0.000017   -0.000718   -0.000138    0.000731
   11.143499   -0.000000   -0.000000    0.000000    0.000755    0.000122    0.000765    0.000018   -0.000012    0.000022
   11.143499   -0.000005   -0.000001    0.000005   -0.000021   -0.000004    0.000022   -0.000000    0.000000    0.000000
   11.148242    0.000833   -0.000911    0.001234   -0.005780   -0.006862    0.008972   -0.459670    0.503815    0.682001
   11.148243   -0.000037   -0.000118    0.000124    0.304055    0.610486    0.682014   -0.007441    0.005015    0.008973
   11.148244    0.151082    0.664800    0.681751    0.000030    0.000117    0.000120    0.000274    0.001205    0.001235
   11.149263    0.000013   -0.000010    0.000016   -0.000000   -0.000004    0.000004    0.000000    0.000001    0.000001
   11.149266   -0.000003    0.000017    0.000017   -0.000000    0.000000    0.000000   -0.000001    0.000001    0.000002
   11.351562   -2.246574   -1.837141    2.902099   -0.000125   -0.000129    0.000180    0.003060    0.002449    0.003919
   11.351563    0.003534    0.001709    0.003926   -0.056759   -0.044432    0.072082    2.622755    1.234458    2.898746
   11.351579   -0.000066   -0.000051    0.000084    2.287554    1.781040    2.899139    0.065258    0.030530    0.072046
   11.374949    0.000000   -0.000000    0.000000   -0.000003   -0.000007    0.000008    0.000038   -0.000008    0.000039
   11.374983   -0.000000   -0.000000    0.000000    0.000039   -0.000001    0.000039   -0.000000   -0.000002    0.000002
   11.374988    0.000014    0.000021    0.000025    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   11.392405    0.000000   -0.000000    0.000000    0.000012    0.000005    0.000013    0.000002    0.000017    0.000017
   11.392440    0.000000    0.000000    0.000000    0.000039    0.000002    0.000039   -0.000004    0.000006    0.000008
   11.392442   -0.000001    0.000002    0.000002    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   11.418958   -0.000000   -0.000000    0.000000   -0.000039   -0.000071    0.000081   -0.000404   -0.000823    0.000917
   11.419022   -0.000000    0.000000    0.000000    0.000845    0.001159    0.001434   -0.000040   -0.000059    0.000072
   11.419060    0.002152    0.001539    0.002646    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
   11.424930   -0.000001    0.000006    0.000006    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.424939   -0.000003   -0.000007    0.000007    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   11.447123    0.000000   -0.000000    0.000000   -0.000102    0.000162    0.000192    0.000784   -0.000836    0.001146
   11.447125   -0.000000    0.000000    0.000000    0.001734   -0.001986    0.002637    0.000033   -0.000082    0.000088
   11.447145   -0.000606   -0.001463    0.001584   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.460148    0.000006   -0.000000    0.000006    0.016012   -0.002139    0.016154   -0.881092    0.008370    0.881131
   11.460204    0.000022   -0.000006    0.000023    0.871987   -0.122425    0.880539    0.016131   -0.000257    0.016133
   11.460206   -0.374010   -0.796426    0.879874    0.000007    0.000022    0.000023   -0.000003   -0.000005    0.000006
   11.460970   -0.000000   -0.000000    0.000000   -0.000024   -0.000047    0.000053    0.000491   -0.000219    0.000537
   11.460999   -0.000000   -0.000000    0.000000    0.000417   -0.000335    0.000535   -0.000045   -0.000075    0.000087
   11.461003    0.000147    0.000055    0.000157    0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.470844   -0.000000   -0.000000    0.000000   -0.000001    0.000000    0.000001   -0.000013   -0.000037    0.000039
   11.470875    0.000000    0.000000    0.000000   -0.000018   -0.000025    0.000031   -0.000007    0.000004    0.000008
   11.470879   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.505299   -0.000001    0.000001    0.000001    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   11.505304    0.000001    0.000001    0.000002    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000
   11.522603    0.000002   -0.000001    0.000003    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.534106    0.000000    0.000000    0.000000    0.000009    0.000011    0.000014    0.000028    0.000009    0.000029
   11.534110   -0.000015   -0.000006    0.000016    0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
   11.534111    0.000000   -0.000000    0.000000   -0.000024   -0.000018    0.000030    0.000014   -0.000000    0.000014
   11.545578   -0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.567352    0.000002   -0.000002    0.000003   -0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.567354    0.000000   -0.000000    0.000000   -0.000002   -0.000001    0.000002   -0.000008    0.000001    0.000008
   11.567359   -0.000000    0.000000    0.000000   -0.000005   -0.000006    0.000008    0.000002    0.000001    0.000002
   11.581796    0.000250   -0.000040    0.000253   -0.005342    0.000416    0.005358    1.094567   -0.198230    1.112372
   11.581798    1.021851   -0.436596    1.111214   -0.001033    0.000440    0.001123   -0.000236    0.000107    0.000259
   11.581800   -0.001082    0.000302    0.001124   -1.071588    0.297828    1.112206   -0.004989    0.001946    0.005355
   11.583537   -0.000017   -0.000007    0.000018    0.000001   -0.000002    0.000002   -0.000000    0.000000    0.000000
   11.584320   -0.000000    0.000000    0.000000    0.000249   -0.001792    0.001809    0.000073    0.000205    0.000217
   11.584320    0.000000    0.000000    0.000000    0.000026   -0.000186    0.000188   -0.000592   -0.001730    0.001828
   11.584330   -0.000020   -0.000025    0.000033    0.000000    0.000000    0.000000   -0.000002   -0.000002    0.000003
   11.635317   -0.000013   -0.000014    0.000019    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.648595    0.000001    0.000000    0.000001   -0.000011   -0.000022    0.000024   -0.000313   -0.000135    0.000341
   11.648599   -0.000000   -0.000000    0.000000    0.000025    0.000058    0.000063    0.000037    0.000018    0.000041
   11.648605   -0.000286    0.000080    0.000297   -0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000001
   11.656552    0.000289    0.000049    0.000293   -0.930869   -0.159737    0.944475    0.000298    0.000090    0.000311
   11.656555   -0.831528    0.447033    0.944075   -0.000259    0.000138    0.000293   -0.000187    0.000102    0.000213
   11.656557   -0.000013   -0.000212    0.000213    0.000055    0.000310    0.000315    0.063788    0.942282    0.944438
   11.661716    0.000011   -0.000003    0.000011   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
   11.661725    0.000004    0.000004    0.000006   -0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
   11.675744    0.000003    0.000000    0.000003   -0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
   11.675745   -0.000000   -0.000000    0.000000    0.000005    0.000001    0.000005   -0.000027   -0.000005    0.000028
   11.675745   -0.000000   -0.000000    0.000000   -0.000022   -0.000016    0.000028   -0.000004   -0.000003    0.000005
   11.682341    0.000004   -0.000003    0.000005   -0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
   11.682344   -0.000002    0.000003    0.000004    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   11.683355    0.000000   -0.000000    0.000000   -0.000001    0.000006    0.000006    0.000006    0.000017    0.000018
   11.683358   -0.000000   -0.000000    0.000000   -0.000002   -0.000018    0.000018    0.000004    0.000004    0.000006
